YEAR	STATE	TYPE OF PRODUCER	ENERGY SOURCE	GENERATION (Megawatthours)
2018	AL	Combined Heat and Power, Electric Power	Natural Gas	4721815
2018	AL	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	142486
2018	AL	Electric Generators, Independent Power Producers	Total	32906202
2018	AL	Electric Generators, Independent Power Producers	Natural Gas	32512502
2018	AL	Electric Generators, Independent Power Producers	Other	-49
2018	AL	Electric Generators, Independent Power Producers	Petroleum	29369
2018	AL	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	326708
2018	AL	Electric Generators, Independent Power Producers	Other Biomass	37672
2018	AL	Electric Generators, Electric Utilities	Total	102665414
2018	AL	Electric Generators, Electric Utilities	Coal	31733668
2018	AL	Electric Generators, Electric Utilities	Hydroelectric Conventional	11143139
2018	AL	Electric Generators, Electric Utilities	Natural Gas	20265878
2018	AL	Electric Generators, Electric Utilities	Nuclear	39462827
2018	AL	Electric Generators, Electric Utilities	Petroleum	29358
2018	AL	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	30544
2018	AR	Total Electric Power Industry	Total	67999352
2018	AR	Total Electric Power Industry	Coal	29996101
2018	AR	Total Electric Power Industry	Pumped Storage	40245
2018	AR	Total Electric Power Industry	Hydroelectric Conventional	3008775
2018	AR	Total Electric Power Industry	Natural Gas	20623705
2018	AR	Total Electric Power Industry	Nuclear	12720818
2018	AR	Total Electric Power Industry	Other	5087
2018	AR	Total Electric Power Industry	Petroleum	35517
2018	AR	Total Electric Power Industry	Solar Thermal and Photovoltaic	203413
2018	AR	Total Electric Power Industry	Other Biomass	74950
2018	AR	Total Electric Power Industry	Wood and Wood Derived Fuels	1290740
2018	AR	Combined Heat and Power, Industrial Power	Total	1641771
2018	AR	Combined Heat and Power, Industrial Power	Coal	45505
2018	AR	Combined Heat and Power, Industrial Power	Natural Gas	297365
2018	AR	Combined Heat and Power, Industrial Power	Other	5087
2018	AR	Combined Heat and Power, Industrial Power	Petroleum	3073
2018	AR	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	1290740
2018	AR	Combined Heat and Power, Commercial Power	Total	43584
2018	AR	Combined Heat and Power, Commercial Power	Natural Gas	38008
2018	AR	Combined Heat and Power, Commercial Power	Other Biomass	5576
2018	AR	Combined Heat and Power, Electric Power	Total	1325509
2018	AR	Combined Heat and Power, Electric Power	Natural Gas	1305210
2018	AR	Combined Heat and Power, Electric Power	Petroleum	0
2018	AR	Combined Heat and Power, Electric Power	Other Biomass	20299
2018	AR	Electric Generators, Independent Power Producers	Total	5503233
2018	AR	Electric Generators, Independent Power Producers	Coal	5196709
2018	AR	Electric Generators, Independent Power Producers	Hydroelectric Conventional	49630
2018	AR	Electric Generators, Independent Power Producers	Petroleum	5925
2018	AR	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	201894
2018	AR	Electric Generators, Independent Power Producers	Other Biomass	49075
2018	AR	Electric Generators, Electric Utilities	Total	59485255
2018	AR	Electric Generators, Electric Utilities	Coal	24753887
2018	AR	Electric Generators, Electric Utilities	Pumped Storage	40245
2018	AR	Electric Generators, Electric Utilities	Hydroelectric Conventional	2959145
2018	AR	Electric Generators, Electric Utilities	Natural Gas	18983122
2018	AR	Electric Generators, Electric Utilities	Nuclear	12720818
2018	AR	Electric Generators, Electric Utilities	Petroleum	26519
2018	AR	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	1519
2018	AZ	Total Electric Power Industry	Total	111925144
2018	AZ	Total Electric Power Industry	Coal	30744623
2018	AZ	Total Electric Power Industry	Pumped Storage	-4526
2018	AZ	Total Electric Power Industry	Hydroelectric Conventional	6982242
2018	AZ	Total Electric Power Industry	Natural Gas	37168075
2018	AZ	Total Electric Power Industry	Nuclear	31097259
2018	AZ	Total Electric Power Industry	Other	-2536
2018	AZ	Total Electric Power Industry	Petroleum	49946
2018	AZ	Total Electric Power Industry	Solar Thermal and Photovoltaic	5140377
2018	AZ	Total Electric Power Industry	Other Biomass	37375
2018	AZ	Total Electric Power Industry	Wind	530190
2018	AZ	Total Electric Power Industry	Wood and Wood Derived Fuels	182120
2018	AZ	Combined Heat and Power, Commercial Power	Total	153732
2018	AZ	Combined Heat and Power, Commercial Power	Natural Gas	140673
2018	AZ	Combined Heat and Power, Commercial Power	Petroleum	21
2018	AZ	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	13038
2018	AZ	Combined Heat and Power, Electric Power	Total	41296
2018	AZ	Combined Heat and Power, Electric Power	Natural Gas	41296
2018	AZ	Combined Heat and Power, Electric Power	Petroleum	0
2018	AZ	Electric Generators, Independent Power Producers	Total	13282000
2018	AZ	Electric Generators, Independent Power Producers	Natural Gas	8088714
2018	AZ	Electric Generators, Independent Power Producers	Other	-2536
2018	AZ	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	4446137
2018	AZ	Electric Generators, Independent Power Producers	Other Biomass	37375
2018	AZ	Electric Generators, Independent Power Producers	Wind	530190
2018	AZ	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	182120
2018	AZ	Electric Generators, Electric Utilities	Total	98448117
2018	AZ	Electric Generators, Electric Utilities	Coal	30744623
2018	AZ	Electric Generators, Electric Utilities	Pumped Storage	-4526
2018	AZ	Electric Generators, Electric Utilities	Hydroelectric Conventional	6982242
2018	AZ	Electric Generators, Electric Utilities	Natural Gas	28897392
2018	AZ	Electric Generators, Electric Utilities	Nuclear	31097259
2018	AZ	Electric Generators, Electric Utilities	Other	0
2018	AZ	Electric Generators, Electric Utilities	Petroleum	49925
2018	AZ	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	681201
2018	AZ	Electric Generators, Electric Utilities	Other Biomass	0
2018	CA	Total Electric Power Industry	Total	195465638
2018	CA	Total Electric Power Industry	Coal	281328
2018	CA	Total Electric Power Industry	Geothermal	11676841
2018	CA	Total Electric Power Industry	Pumped Storage	-148574
2018	CA	Total Electric Power Industry	Hydroelectric Conventional	26330667
2018	CA	Total Electric Power Industry	Natural Gas	89804703
2018	CA	Total Electric Power Industry	Nuclear	18213519
2018	CA	Total Electric Power Industry	Other Gases	1453960
2018	CA	Total Electric Power Industry	Other	828768
2018	CA	Total Electric Power Industry	Petroleum	68878
2018	CA	Total Electric Power Industry	Solar Thermal and Photovoltaic	26985177
2018	CA	Total Electric Power Industry	Other Biomass	2823849
2018	CA	Total Electric Power Industry	Wind	14023951
2018	CA	Total Electric Power Industry	Wood and Wood Derived Fuels	3122571
2018	CA	Combined Heat and Power, Industrial Power	Total	13566030
2018	CA	Combined Heat and Power, Industrial Power	Coal	281328
2018	CA	Combined Heat and Power, Industrial Power	Natural Gas	10451067
2018	CA	Combined Heat and Power, Industrial Power	Other Gases	1453960
2018	CA	Combined Heat and Power, Industrial Power	Other	685862
2018	CA	Combined Heat and Power, Industrial Power	Petroleum	29114
2018	CA	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	19518
2018	CA	Combined Heat and Power, Industrial Power	Other Biomass	34884
2018	CA	Combined Heat and Power, Industrial Power	Wind	5101
2018	CA	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	605196
2018	CA	Combined Heat and Power, Commercial Power	Total	2779121
2018	CA	Combined Heat and Power, Commercial Power	Pumped Storage	0
2018	CA	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	10884
2018	CA	Combined Heat and Power, Commercial Power	Natural Gas	1834815
2018	CA	Combined Heat and Power, Commercial Power	Other	-182
2018	CA	Combined Heat and Power, Commercial Power	Petroleum	546
2018	CA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	148017
2018	CA	Combined Heat and Power, Commercial Power	Other Biomass	779291
2018	CA	Combined Heat and Power, Commercial Power	Wind	5750
2018	CA	Combined Heat and Power, Electric Power	Total	14910074
2018	CA	Combined Heat and Power, Electric Power	Coal	0
2018	CA	Combined Heat and Power, Electric Power	Natural Gas	13836548
2018	CA	Combined Heat and Power, Electric Power	Other	76569
2018	CA	Combined Heat and Power, Electric Power	Petroleum	0
2018	CA	Combined Heat and Power, Electric Power	Solar Thermal and Photovoltaic	5385
2018	CA	Combined Heat and Power, Electric Power	Other Biomass	175118
2018	CA	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	816455
2018	CA	Electric Generators, Independent Power Producers	Total	88971634
2018	CA	Electric Generators, Independent Power Producers	Geothermal	10890611
2018	CA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	1404581
2018	CA	Electric Generators, Independent Power Producers	Natural Gas	33688646
2018	CA	Electric Generators, Independent Power Producers	Other	83830
2018	CA	Electric Generators, Independent Power Producers	Petroleum	5499
2018	CA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	26292961
2018	CA	Electric Generators, Independent Power Producers	Other Biomass	1741560
2018	CA	Electric Generators, Independent Power Producers	Wind	13163026
2018	CA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	1700921
2018	CA	Electric Generators, Electric Utilities	Total	75238779
2018	CA	Electric Generators, Electric Utilities	Geothermal	786230
2018	CA	Electric Generators, Electric Utilities	Pumped Storage	-148574
2018	CA	Electric Generators, Electric Utilities	Hydroelectric Conventional	24915201
2018	CA	Electric Generators, Electric Utilities	Natural Gas	29993629
2018	CA	Electric Generators, Electric Utilities	Nuclear	18213519
2018	CA	Electric Generators, Electric Utilities	Other Gases	0
2018	CA	Electric Generators, Electric Utilities	Other	-17311
2018	CA	Electric Generators, Electric Utilities	Petroleum	33719
2018	CA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	519296
2018	CA	Electric Generators, Electric Utilities	Other Biomass	92995
2018	CA	Electric Generators, Electric Utilities	Wind	850074
2018	CO	Total Electric Power Industry	Total	55386279
2018	CO	Total Electric Power Industry	Coal	26382060
2018	CO	Total Electric Power Industry	Pumped Storage	-262738
2018	CO	Total Electric Power Industry	Hydroelectric Conventional	1825385
2018	CO	Total Electric Power Industry	Natural Gas	16398439
2018	CO	Total Electric Power Industry	Other	59292
2018	CO	Total Electric Power Industry	Petroleum	11882
2018	CO	Total Electric Power Industry	Solar Thermal and Photovoltaic	1062380
2018	CO	Total Electric Power Industry	Other Biomass	75788
2018	CO	Total Electric Power Industry	Wind	9745150
2018	CO	Total Electric Power Industry	Wood and Wood Derived Fuels	88639
2018	CO	Combined Heat and Power, Industrial Power	Total	75530
2018	CO	Combined Heat and Power, Industrial Power	Coal	11939
2018	CO	Combined Heat and Power, Industrial Power	Natural Gas	18796
2018	CO	Combined Heat and Power, Industrial Power	Other	41646
2018	CO	Combined Heat and Power, Industrial Power	Petroleum	27
2018	CO	Combined Heat and Power, Industrial Power	Wind	3122
2018	CO	Combined Heat and Power, Commercial Power	Total	26507
2018	CO	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	13102
2018	CO	Combined Heat and Power, Commercial Power	Natural Gas	861
2018	CO	Combined Heat and Power, Commercial Power	Petroleum	0
2018	CO	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	12461
2018	CO	Combined Heat and Power, Commercial Power	Wind	83
2018	CO	Combined Heat and Power, Electric Power	Total	204651
2018	CO	Combined Heat and Power, Electric Power	Coal	0
2018	CO	Combined Heat and Power, Electric Power	Natural Gas	172784
2018	CO	Combined Heat and Power, Electric Power	Petroleum	0
2018	CO	Combined Heat and Power, Electric Power	Other Biomass	31867
2018	CO	Electric Generators, Independent Power Producers	Total	13042990
2018	CO	Electric Generators, Independent Power Producers	Hydroelectric Conventional	211723
2018	CO	Electric Generators, Independent Power Producers	Natural Gas	2402108
2018	CO	Electric Generators, Independent Power Producers	Other	17674
2018	CO	Electric Generators, Independent Power Producers	Petroleum	399
2018	CO	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	1044643
2018	CO	Electric Generators, Independent Power Producers	Other Biomass	43921
2018	CO	Electric Generators, Independent Power Producers	Wind	9233883
2018	CO	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	88639
2018	CO	Electric Generators, Electric Utilities	Total	42036600
2018	CO	Electric Generators, Electric Utilities	Coal	26370121
2018	CO	Electric Generators, Electric Utilities	Pumped Storage	-262738
2018	CO	Electric Generators, Electric Utilities	Hydroelectric Conventional	1600560
2018	CO	Electric Generators, Electric Utilities	Natural Gas	13803891
2018	CO	Electric Generators, Electric Utilities	Other	-28
2018	CO	Electric Generators, Electric Utilities	Petroleum	11456
2018	CO	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	5276
2018	CO	Electric Generators, Electric Utilities	Wind	508062
2018	CT	Total Electric Power Industry	Total	39453552
2018	CT	Total Electric Power Industry	Coal	329701
2018	CT	Total Electric Power Industry	Pumped Storage	3471
2018	CT	Total Electric Power Industry	Hydroelectric Conventional	555319
2018	CT	Total Electric Power Industry	Natural Gas	20006457
2018	CT	Total Electric Power Industry	Nuclear	16881492
2018	CT	Total Electric Power Industry	Other	464733
2018	CT	Total Electric Power Industry	Petroleum	338957
2018	CT	Total Electric Power Industry	Solar Thermal and Photovoltaic	105555
2018	CT	Total Electric Power Industry	Other Biomass	494699
2018	CT	Total Electric Power Industry	Wind	12295
2018	CT	Total Electric Power Industry	Wood and Wood Derived Fuels	260871
2018	CT	Combined Heat and Power, Industrial Power	Total	644445
2018	CT	Combined Heat and Power, Industrial Power	Natural Gas	643084
2018	CT	Combined Heat and Power, Industrial Power	Petroleum	1251
2018	CT	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	110
2018	CT	Combined Heat and Power, Commercial Power	Total	432822
2018	CT	Combined Heat and Power, Commercial Power	Natural Gas	428707
2018	CT	Combined Heat and Power, Commercial Power	Petroleum	3195
2018	CT	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	920
2018	CT	Combined Heat and Power, Electric Power	Total	261724
2018	CT	Combined Heat and Power, Electric Power	Natural Gas	258825
2018	CT	Combined Heat and Power, Electric Power	Petroleum	2899
2018	CT	Electric Generators, Independent Power Producers	Total	38005620
2018	CT	Electric Generators, Independent Power Producers	Coal	329701
2018	CT	Electric Generators, Independent Power Producers	Pumped Storage	3471
2018	CT	Electric Generators, Independent Power Producers	Hydroelectric Conventional	513910
2018	CT	Electric Generators, Independent Power Producers	Natural Gas	18616668
2018	CT	Electric Generators, Independent Power Producers	Nuclear	16881492
2018	CT	Electric Generators, Independent Power Producers	Other	464733
2018	CT	Electric Generators, Independent Power Producers	Petroleum	326446
2018	CT	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	101334
2018	CT	Electric Generators, Independent Power Producers	Other Biomass	494699
2018	CT	Electric Generators, Independent Power Producers	Wind	12295
2018	CT	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	260871
2018	CT	Electric Generators, Electric Utilities	Total	108940
2018	CT	Electric Generators, Electric Utilities	Hydroelectric Conventional	41409
2018	CT	Electric Generators, Electric Utilities	Natural Gas	59174
2018	CT	Electric Generators, Electric Utilities	Petroleum	5166
2018	CT	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	3191
2018	CT	Electric Generators, Electric Utilities	Other Biomass	0
2018	DC	Total Electric Power Industry	Total	79331
2018	DC	Total Electric Power Industry	Natural Gas	22770
2018	DC	Total Electric Power Industry	Petroleum	0
2018	DC	Total Electric Power Industry	Other Biomass	56561
2018	DC	Combined Heat and Power, Commercial Power	Total	79331
2018	DC	Combined Heat and Power, Commercial Power	Natural Gas	22770
2018	DC	Combined Heat and Power, Commercial Power	Petroleum	0
2018	DC	Combined Heat and Power, Commercial Power	Other Biomass	56561
2018	DE	Total Electric Power Industry	Total	6240644
2018	DE	Total Electric Power Industry	Coal	273388
2018	DE	Total Electric Power Industry	Natural Gas	5400155
2018	DE	Total Electric Power Industry	Other Gases	252180
2018	DE	Total Electric Power Industry	Petroleum	200824
2018	DE	Total Electric Power Industry	Solar Thermal and Photovoltaic	49789
2018	DE	Total Electric Power Industry	Other Biomass	59101
2018	DE	Total Electric Power Industry	Wind	5207
2018	DE	Combined Heat and Power, Industrial Power	Total	1073448
2018	DE	Combined Heat and Power, Industrial Power	Natural Gas	808769
2018	DE	Combined Heat and Power, Industrial Power	Other Gases	252180
2018	DE	Combined Heat and Power, Industrial Power	Petroleum	0
2018	DE	Combined Heat and Power, Industrial Power	Other Biomass	12499
2018	DE	Combined Heat and Power, Commercial Power	Total	5803
2018	DE	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	596
2018	DE	Combined Heat and Power, Commercial Power	Wind	5207
2018	DE	Combined Heat and Power, Electric Power	Total	93314
2018	DE	Combined Heat and Power, Electric Power	Coal	0
2018	DE	Combined Heat and Power, Electric Power	Natural Gas	90679
2018	DE	Combined Heat and Power, Electric Power	Petroleum	2635
2018	DE	Electric Generators, Independent Power Producers	Total	5031168
2018	DE	Electric Generators, Independent Power Producers	Coal	273388
2018	DE	Electric Generators, Independent Power Producers	Natural Gas	4476168
2018	DE	Electric Generators, Independent Power Producers	Petroleum	192030
2018	DE	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	42981
2018	DE	Electric Generators, Independent Power Producers	Other Biomass	46602
2018	DE	Electric Generators, Electric Utilities	Total	36911
2018	DE	Electric Generators, Electric Utilities	Natural Gas	24539
2018	DE	Electric Generators, Electric Utilities	Petroleum	6160
2018	DE	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	6212
2018	FL	Total Electric Power Industry	Total	244252035
2018	FL	Total Electric Power Industry	Coal	30272201
2018	FL	Total Electric Power Industry	Hydroelectric Conventional	232574
2018	FL	Total Electric Power Industry	Natural Gas	171872214
2018	FL	Total Electric Power Industry	Nuclear	29312349
2018	FL	Total Electric Power Industry	Other Gases	5488
2018	FL	Total Electric Power Industry	Other	2983320
2018	FL	Total Electric Power Industry	Petroleum	2077358
2018	FL	Total Electric Power Industry	Solar Thermal and Photovoltaic	2412063
2018	FL	Total Electric Power Industry	Other Biomass	2568988
2018	FL	Total Electric Power Industry	Wood and Wood Derived Fuels	2515480
2018	FL	Combined Heat and Power, Industrial Power	Total	5079348
2018	FL	Combined Heat and Power, Industrial Power	Coal	97655
2018	FL	Combined Heat and Power, Industrial Power	Natural Gas	1550018
2018	FL	Combined Heat and Power, Industrial Power	Other Gases	5488
2018	FL	Combined Heat and Power, Industrial Power	Other	1461129
2018	FL	Combined Heat and Power, Industrial Power	Petroleum	23230
2018	FL	Combined Heat and Power, Industrial Power	Solar Thermal and Photovoltaic	2417
2018	FL	Combined Heat and Power, Industrial Power	Other Biomass	263852
2018	FL	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	1675558
2018	FL	Combined Heat and Power, Commercial Power	Total	80386
2018	FL	Combined Heat and Power, Commercial Power	Natural Gas	29797
2018	FL	Combined Heat and Power, Commercial Power	Petroleum	0
2018	FL	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	5839
2018	FL	Combined Heat and Power, Commercial Power	Other Biomass	44749
2018	FL	Combined Heat and Power, Electric Power	Total	2179067
2018	FL	Combined Heat and Power, Electric Power	Natural Gas	2124448
2018	FL	Combined Heat and Power, Electric Power	Petroleum	0
2018	FL	Combined Heat and Power, Electric Power	Other Biomass	54618
2018	FL	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	0
2018	FL	Electric Generators, Independent Power Producers	Total	9629156
2018	FL	Electric Generators, Independent Power Producers	Coal	0
2018	FL	Electric Generators, Independent Power Producers	Natural Gas	5325099
2018	FL	Electric Generators, Independent Power Producers	Other	1522548
2018	FL	Electric Generators, Independent Power Producers	Petroleum	12106
2018	FL	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	377902
2018	FL	Electric Generators, Independent Power Producers	Other Biomass	2120243
2018	FL	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	271257
2018	FL	Electric Generators, Electric Utilities	Total	227284079
2018	FL	Electric Generators, Electric Utilities	Coal	30174545
2018	FL	Electric Generators, Electric Utilities	Hydroelectric Conventional	232574
2018	FL	Electric Generators, Electric Utilities	Natural Gas	162842852
2018	FL	Electric Generators, Electric Utilities	Nuclear	29312349
2018	FL	Electric Generators, Electric Utilities	Other	-358
2018	FL	Electric Generators, Electric Utilities	Petroleum	2042022
2018	FL	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	2025905
2018	FL	Electric Generators, Electric Utilities	Other Biomass	85525
2018	FL	Electric Generators, Electric Utilities	Wood and Wood Derived Fuels	568665
2018	GA	Total Electric Power Industry	Total	129239371
2018	GA	Total Electric Power Industry	Coal	32180555
2018	GA	Total Electric Power Industry	Pumped Storage	-488754
2018	GA	Total Electric Power Industry	Hydroelectric Conventional	3696868
2018	GA	Total Electric Power Industry	Natural Gas	51972110
2018	GA	Total Electric Power Industry	Nuclear	34362676
2018	GA	Total Electric Power Industry	Other	85789
2018	GA	Total Electric Power Industry	Petroleum	435734
2018	GA	Total Electric Power Industry	Solar Thermal and Photovoltaic	1995837
2018	GA	Total Electric Power Industry	Other Biomass	340938
2018	GA	Total Electric Power Industry	Wood and Wood Derived Fuels	4657619
2018	GA	Combined Heat and Power, Industrial Power	Total	5237830
2018	GA	Combined Heat and Power, Industrial Power	Coal	197549
2018	GA	Combined Heat and Power, Industrial Power	Hydroelectric Conventional	10641
2018	GA	Combined Heat and Power, Industrial Power	Natural Gas	593553
2018	GA	Combined Heat and Power, Industrial Power	Other	85898
2018	GA	Combined Heat and Power, Industrial Power	Petroleum	233854
2018	GA	Combined Heat and Power, Industrial Power	Other Biomass	32368
2018	GA	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	4083968
2018	GA	Combined Heat and Power, Commercial Power	Total	6911
2018	GA	Combined Heat and Power, Commercial Power	Natural Gas	0
2018	GA	Combined Heat and Power, Commercial Power	Petroleum	4622
2018	GA	Combined Heat and Power, Commercial Power	Solar Thermal and Photovoltaic	2289
2018	GA	Combined Heat and Power, Commercial Power	Other Biomass	0
2018	GA	Combined Heat and Power, Electric Power	Total	289511
2018	GA	Combined Heat and Power, Electric Power	Natural Gas	196590
2018	GA	Combined Heat and Power, Electric Power	Petroleum	16459
2018	GA	Combined Heat and Power, Electric Power	Other Biomass	6511
2018	GA	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	69951
2018	GA	Electric Generators, Independent Power Producers	Total	14534305
2018	GA	Electric Generators, Independent Power Producers	Hydroelectric Conventional	9974
2018	GA	Electric Generators, Independent Power Producers	Natural Gas	11942200
2018	GA	Electric Generators, Independent Power Producers	Petroleum	75784
2018	GA	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	1700588
2018	GA	Electric Generators, Independent Power Producers	Other Biomass	302059
2018	GA	Electric Generators, Independent Power Producers	Wood and Wood Derived Fuels	503701
2018	GA	Electric Generators, Electric Utilities	Total	109170814
2018	GA	Electric Generators, Electric Utilities	Coal	31983006
2018	GA	Electric Generators, Electric Utilities	Pumped Storage	-488754
2018	GA	Electric Generators, Electric Utilities	Hydroelectric Conventional	3676253
2018	GA	Electric Generators, Electric Utilities	Natural Gas	39239767
2018	GA	Electric Generators, Electric Utilities	Nuclear	34362676
2018	GA	Electric Generators, Electric Utilities	Other	-109
2018	GA	Electric Generators, Electric Utilities	Petroleum	105015
2018	GA	Electric Generators, Electric Utilities	Solar Thermal and Photovoltaic	292960
2018	HI	Total Electric Power Industry	Total	9796773
2018	HI	Total Electric Power Industry	Coal	1311203
2018	HI	Total Electric Power Industry	Geothermal	110089
2018	HI	Total Electric Power Industry	Hydroelectric Conventional	96520
2018	HI	Total Electric Power Industry	Other Gases	55722
2018	HI	Total Electric Power Industry	Other	382269
2018	HI	Total Electric Power Industry	Petroleum	6748947
2018	HI	Total Electric Power Industry	Solar Thermal and Photovoltaic	184576
2018	HI	Total Electric Power Industry	Other Biomass	305513
2018	HI	Total Electric Power Industry	Wind	601934
2018	HI	Total Electric Power Industry	Wood and Wood Derived Fuels	0
2018	HI	Combined Heat and Power, Industrial Power	Total	280675
2018	HI	Combined Heat and Power, Industrial Power	Hydroelectric Conventional	34451
2018	HI	Combined Heat and Power, Industrial Power	Other Gases	55722
2018	HI	Combined Heat and Power, Industrial Power	Petroleum	190502
2018	HI	Combined Heat and Power, Commercial Power	Total	397634
2018	HI	Combined Heat and Power, Commercial Power	Other	193355
2018	HI	Combined Heat and Power, Commercial Power	Petroleum	3037
2018	HI	Combined Heat and Power, Commercial Power	Other Biomass	201241
