Table 3.  2017 State energy-related carbon dioxide emissions by fuel,,,,,,,,,,,,,
,,,,,,,,,,,,,
,million metric tons of carbon dioxide,,,,,,CO2 output per capita (metric tons per person),,,,Total CO2 output per capita (metric tons per person),,
New York,1.9,88.1,67.8,157.7,,19453561,0.10,4.53,3.49,,8.108027111,,
North Carolina,33.4,54.8,27.5,115.8,,10488084,3.19,5.23,2.62,,11.03824111,,
North Dakota,37.9,12.4,6.2,56.5,,762062,49.76,16.23,8.19,,74.18031604,,
Ohio,77.2,74.7,53.8,205.6,,11689100,6.60,6.39,4.60,,17.59074694,,
Oklahoma,18.9,37.7,36.6,93.3,,3956971,4.78,9.54,9.26,,23.58116853,,
Oregon,1.8,22.9,13.9,38.6,,4217737,0.42,5.42,3.30,,9.144714334,,
Pennsylvania,63.6,78.8,74.4,216.7,,12801989,4.96,6.15,5.81,,16.92315155,,
Rhode Island,0.0,5.0,5.0,10.1,,1059361, -   ,4.75,4.74,,9.486851036,,
South Carolina,18.4,35.8,15.1,69.3,,5148714,3.58,6.94,2.93,,13.45384498,,
South Dakota,2.5,7.6,4.5,14.6,,884659,2.81,8.56,5.10,,16.46962276,,
Tennessee,31.9,48.8,17.5,98.3,,6829174,4.67,7.15,2.57,,14.38827009,,
Texas,138.7,360.8,211.5,711.0,,28995881,4.78,12.44,7.30,,24.52037929,,
Utah,26.2,20.0,12.2,58.5,,3205958,8.18,6.25,3.82,,18.25351424,,
Vermont,0.0,5.2,0.7,5.8,,623989, -   ,8.32,1.04,,9.34311342,,
Virginia,15.2,51.7,31.6,98.5,,8535519,1.78,6.06,3.70,,11.53766982,,
Washington,5.9,54.2,18.6,78.7,,7614893,0.77,7.12,2.44,,10.33895026,,
West Virginia,67.8,12.8,10.7,91.3,,1792147,37.84,7.15,5.98,,50.96122137,,
Wisconsin,37.1,34.4,26.7,98.2,,5822434,6.37,5.91,4.59,,16.86923373,,
Wyoming,43.8,10.2,7.1,61.0,,578759,75.63,17.57,12.23,,105.4324857,,
Total¹,"1,320.0","2,358.3","1,487.8","5,166.1",,,,,,,,,
"Source:  U.S. Energy Information Administration (EIA), State Energy Data System and EIA calculations made for this analysis.",,,,,,,,,,,,,
"Note:  The District of Columbia is included in the data tables, but not in the analysis as it is not a state.",,,,,,,,,,,,,
"1For the United States as a whole see, EIA, Monthly Energy Review, Section 11: Environment.  Differing methodologies between the two data series causes the total for all states to be slightly different from the national-level estimate.",,,,,,,,,,,,,
